Zero Values,Missing Values,% of Missing Values,Total Zero and Missing Values,% Total Zero and Missing Values,Data Type
0,4767,51.59,4767,51.59,object
0,4218,45.65,4218,45.65,float64
0,4218,45.65,4218,45.65,float64
0,4218,45.65,4218,45.65,object
0,4218,45.65,4218,45.65,object
0,3353,36.29,3353,36.29,object
0,2709,29.32,2709,29.32,object
0,2709,29.32,2709,29.32,object
0,2690,29.11,2690,29.11,object
0,2461,26.63,2461,26.63,object
0,2207,23.89,2207,23.89,object
0,1438,15.56,1438,15.56,object
0,1420,15.37,1420,15.37,object
2189,137,1.48,2326,25.17,float64
2189,137,1.48,2326,25.17,float64
0,103,1.11,103,1.11,object
0,36,0.39,36,0.39,object
